t_index,CH1_ADC,CH2_ADC,CH3_ADC,CH4_ADC
217249,512,508,492,508
217249,457,451,435,451
217363,484,477,465,477
217366,432,429,423,429
217632,418,412,399,412
217636,482,472,467,472
217759,510,509,503,509
217763,427,420,408,420
217886,502,494,483,494
217890,464,458,446,458
218173,417,406,394,406
218173,519,511,504,511
218189,449,444,431,444
218189,499,493,485,493
218284,518,512,505,512
218288,432,432,422,432
218411,503,489,484,489
218415,476,465,453,465
218685,421,417,408,417
218685,510,503,488,503
218808,514,506,498,506
218812,528,522,509,522
218816,381,378,363,378
218816,501,497,488,497
218935,490,483,469,483
218939,481,476,468,476
219209,486,477,472,477
219209,411,398,383,398
219333,487,480,469,480
219336,461,448,439,448
219459,465,458,449,458
219463,391,379,364,379
219463,510,497,486,497
219733,464,454,443,454
219733,503,496,486,496
219828,386,378,370,378
219832,402,394,380,394
219856,459,453,444,453
219860,490,476,468,476
219983,379,366,353,366
219983,514,511,502,511
219987,409,409,397,409
220015,405,396,381,396
220130,390,380,371,380
220241,376,367,355,367
220258,498,490,486,490
220258,507,500,495,500
220262,380,370,355,370
220323,373,366,355,366
220381,487,477,468,477
220385,554,545,537,545
220385,437,429,419,429
220413,473,471,456,471
220413,549,536,527,536
221433,429,422,408,422
221433,479,477,468,477
221574,499,489,476,489
221574,496,489,476,489
221574,373,370,362,370
221686,390,381,373,381
221687,425,415,407,415
221687,526,521,508,521
221970,467,461,445,461
221974,390,380,374,380
221974,505,498,486,498
222080,452,442,432,442
222085,397,386,365,386
222085,514,502,490,502
222207,531,527,515,527
222211,436,432,423,432
222224,397,387,383,387
222478,467,458,445,458
222500,468,463,456,463
